"REF_DATE","GEO","DGUID","Type of vehicle","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Alberta","2016A000248","Off-road, construction, farm vehicles","Number","223","units ","0","v1456822","10.9","65091","","r","","0"
"2000","British Columbia","2016A000259","Total, vehicle registrations","Number","223","units ","0","v1456823","11.1","2638251","","r","","0"
"2000","British Columbia","2016A000259","Total, road motor vehicle registrations","Number","223","units ","0","v1456824","11.2","2351609","","r","","0"
"2000","British Columbia","2016A000259","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456825","11.3","2221457","","r","","0"
"2000","British Columbia","2016A000259","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456826","11.4","60524","","r","","0"
"2000","British Columbia","2016A000259","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456827","11.5","14038","","r","","0"
"2000","British Columbia","2016A000259","Buses","Number","223","units ","0","v1456828","11.6","8592","","r","","0"
"2000","British Columbia","2016A000259","Motorcycles and mopeds","Number","223","units ","0","v1456829","11.7","46998","","r","","0"
"2000","British Columbia","2016A000259","Trailers","Number","223","units ","0","v1456830","11.8","262021","","r","","0"
"2000","British Columbia","2016A000259","Off-road, construction, farm vehicles","Number","223","units ","0","v1456831","11.9","24621","","r","","0"
"2000","Yukon","2016A000260","Total, vehicle registrations","Number","223","units ","0","v1456832","12.1","30692","","r","","0"
"2000","Yukon","2016A000260","Total, road motor vehicle registrations","Number","223","units ","0","v1456833","12.2","23915","","r","","0"
