"REF_DATE","GEO","DGUID","Type of fuel sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988","Yukon","2016A000260","Gross sales of gasoline","Litres","203","thousands","3","v74742","12.2","64932","","","","0"
"1988","Yukon","2016A000260","Net sales of diesel oil","Litres","203","thousands","3","v74781","12.3","26644","","","","0"
"1988","Yukon","2016A000260","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74794","12.4","0","","","","0"
"1988","Northwest Territories including Nunavut","2011A000261","Net sales of gasoline","Litres","203","thousands","3","v74730","13.1","31310","","","t","0"
"1988","Northwest Territories including Nunavut","2011A000261","Gross sales of gasoline","Litres","203","thousands","3","v74743","13.2","43079","","","t","0"
"1988","Northwest Territories including Nunavut","2011A000261","Net sales of diesel oil","Litres","203","thousands","3","v74782","13.3","30451","","","t","0"
"1988","Northwest Territories including Nunavut","2011A000261","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74795","13.4","0","","","t","0"
"1989","Canada","2016A000011124","Net sales of gasoline","Litres","203","thousands","3","v74726","1.1","31663767","","","","0"
"1989","Canada","2016A000011124","Gross sales of gasoline","Litres","203","thousands","3","v74739","1.2","34153000","","","","0"
"1989","Canada","2016A000011124","Net sales of diesel oil","Litres","203","thousands","3","v74778","1.3","6032674","","","","0"
"1989","Canada","2016A000011124","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74791","1.4","69131","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Net sales of gasoline","Litres","203","thousands","3","v74727","2.1","583386","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Gross sales of gasoline","Litres","203","thousands","3","v74740","2.2","602815","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Net sales of diesel oil","Litres","203","thousands","3","v74779","2.3","138538","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74792","2.4","1626","","","","0"
"1989","Prince Edward Island","2016A000211","Net sales of gasoline","Litres","203","thousands","3","v74731","3.1","175896","","","","0"
"1989","Prince Edward Island","2016A000211","Gross sales of gasoline","Litres","203","thousands","3","v74744","3.2","180715","","","","0"
"1989","Prince Edward Island","2016A000211","Net sales of diesel oil","Litres","203","thousands","3","v74783","3.3","26849","","","","0"
"1989","Prince Edward Island","2016A000211","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74796","3.4","527","","","","0"
"1989","Nova Scotia","2016A000212","Net sales of gasoline","Litres","203","thousands","3","v74732","4.1","1105209","","","","0"
"1989","Nova Scotia","2016A000212","Gross sales of gasoline","Litres","203","thousands","3","v74745","4.2","1127702","","","","0"
"1989","Nova Scotia","2016A000212","Net sales of diesel oil","Litres","203","thousands","3","v74784","4.3","283465","","","","0"
"1989","Nova Scotia","2016A000212","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74797","4.4","2053","","","","0"
"1989","New Brunswick","2016A000213","Net sales of gasoline","Litres","203","thousands","3","v74733","5.1","970293","","","","0"
"1989","New Brunswick","2016A000213","Gross sales of gasoline","Litres","203","thousands","3","v74746","5.2","975735","","","","0"
"1989","New Brunswick","2016A000213","Net sales of diesel oil","Litres","203","thousands","3","v74785","5.3","279952","","","","0"
"1989","New Brunswick","2016A000213","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74798","5.4","4132","","","","0"
"1989","Quebec","2016A000224","Net sales of gasoline","Litres","203","thousands","3","v74734","6.1","7051184","","","","0"
"1989","Quebec","2016A000224","Gross sales of gasoline","Litres","203","thousands","3","v74747","6.2","7180953","","","","0"
"1989","Quebec","2016A000224","Net sales of diesel oil","Litres","203","thousands","3","v74786","6.3","2210953","","","","0"
"1989","Quebec","2016A000224","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74799","6.4","1633","","","","0"
"1989","Ontario","2016A000235","Net sales of gasoline","Litres","203","thousands","3","v74735","7.1","12349948","","","","0"
"1989","Ontario","2016A000235","Gross sales of gasoline","Litres","203","thousands","3","v74748","7.2","12660325","","","","0"
"1989","Ontario","2016A000235","Net sales of diesel oil","Litres","203","thousands","3","v74787","7.3","0","","","","0"
"1989","Ontario","2016A000235","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74800","7.4","0","","","","0"
"1989","Manitoba","2016A000246","Net sales of gasoline","Litres","203","thousands","3","v74736","8.1","1341072","","","","0"
"1989","Manitoba","2016A000246","Gross sales of gasoline","Litres","203","thousands","3","v74749","8.2","1491793","","","","0"
"1989","Manitoba","2016A000246","Net sales of diesel oil","Litres","203","thousands","3","v74788","8.3","219464","","","","0"
"1989","Manitoba","2016A000246","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74801","8.4","27518","","","","0"
"1989","Saskatchewan","2016A000247","Net sales of gasoline","Litres","203","thousands","3","v74737","9.1","620070","","","","0"
"1989","Saskatchewan","2016A000247","Gross sales of gasoline","Litres","203","thousands","3","v74750","9.2","1773607","","","","0"
"1989","Saskatchewan","2016A000247","Net sales of diesel oil","Litres","203","thousands","3","v74789","9.3","514864","","","","0"
"1989","Saskatchewan","2016A000247","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74802","9.4","31643","","","","0"
"1989","Alberta","2016A000248","Net sales of gasoline","Litres","203","thousands","3","v74738","10.1","3774250","","","","0"
"1989","Alberta","2016A000248","Gross sales of gasoline","Litres","203","thousands","3","v74751","10.2","4285538","","","","0"
"1989","Alberta","2016A000248","Net sales of diesel oil","Litres","203","thousands","3","v74790","10.3","1341477","","","","0"
"1989","Alberta","2016A000248","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74803","10.4","0","","","","0"
"1989","British Columbia","2016A000259","Net sales of gasoline","Litres","203","thousands","3","v74728","11.1","3599180","","","","0"
"1989","British Columbia","2016A000259","Gross sales of gasoline","Litres","203","thousands","3","v74741","11.2","3754901","","","","0"
"1989","British Columbia","2016A000259","Net sales of diesel oil","Litres","203","thousands","3","v74780","11.3","948962","","","","0"
"1989","British Columbia","2016A000259","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74793","11.4","0","","","","0"
"1989","Yukon","2016A000260","Net sales of gasoline","Litres","203","thousands","3","v74729","12.1","59472","","","","0"
"1989","Yukon","2016A000260","Gross sales of gasoline","Litres","203","thousands","3","v74742","12.2","64593","","","","0"
"1989","Yukon","2016A000260","Net sales of diesel oil","Litres","203","thousands","3","v74781","12.3","26838","","","","0"
"1989","Yukon","2016A000260","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74794","12.4","0","","","","0"
"1989","Northwest Territories including Nunavut","2011A000261","Net sales of gasoline","Litres","203","thousands","3","v74730","13.1","33807","","","t","0"
"1989","Northwest Territories including Nunavut","2011A000261","Gross sales of gasoline","Litres","203","thousands","3","v74743","13.2","54323","","","t","0"
"1989","Northwest Territories including Nunavut","2011A000261","Net sales of diesel oil","Litres","203","thousands","3","v74782","13.3","41311","","","t","0"
"1989","Northwest Territories including Nunavut","2011A000261","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74795","13.4","0","","","t","0"
"1990","Canada","2016A000011124","Net sales of gasoline","Litres","203","thousands","3","v74726","1.1","30851594","","","","0"
"1990","Canada","2016A000011124","Gross sales of gasoline","Litres","203","thousands","3","v74739","1.2","33314359","","","","0"
"1990","Canada","2016A000011124","Net sales of diesel oil","Litres","203","thousands","3","v74778","1.3","5899150","","","","0"
